time,robot_x,robot_y,robot_z,yaw,mode,obstacle_type,obstacle_x,obstacle_y,obstacle_z,obstacle_sx,obstacle_sy,obstacle_sz,target_x,target_y,target_z
2.08,0.24878963908167517,10.591402872455179,0.588393943184643,-1.6083654103710725,GO,brick_block,0.379553,0.0437297,0.76,6.0,6.0,2.0,0.0,-9.2393,0.710646
2.112,0.24824533586463707,10.574051667231645,0.5880456879517183,-1.6087951590513605,GO,brick_block,0.379553,0.0437297,0.76,6.0,6.0,2.0,0.0,-9.2393,0.710646
2.144,0.247692741456005,10.556556463111274,0.5866739163463323,-1.6091953327114055,GO,brick_block,0.379553,0.0437297,0.76,6.0,6.0,2.0,0.0,-9.2393,0.710646
2.176,0.24713185207621916,10.538921473567905,0.5844282517110367,-1.6095547221820714,GO,brick_block,0.379553,0.0437297,0.76,6.0,6.0,2.0,0.0,-9.2393,0.710646
2.208,0.24656269803136777,10.521151133154316,0.581523698194419,-1.609868041478209,GO,brick_block,0.379553,0.0437297,0.76,6.0,6.0,2.0,0.0,-9.2393,0.710646
2.24,0.24598534214350506,10.503249968221137,0.578220737400905,-1.6101343908907209,GO,brick_block,0.379553,0.0437297,0.76,6.0,6.0,2.0,0.0,-9.2393,0.710646
2.2720000000000002,0.24539987501964194,10.485222453362953,0.5748022341312138,-1.610355338887758,GO,brick_block,0.379553,0.0437297,0.76,6.0,6.0,2.0,0.0,-9.2393,0.710646
2.3040000000000003,0.24480640935993125,10.467072885657604,0.571549268336175,-1.6105332793112657,GO,brick_block,0.379553,0.0437297,0.76,6.0,6.0,2.0,0.0,-9.2393,0.710646
2.336,0.24420507510643008,10.448805300915286,0.568718028745445,-1.6106697242125683,GO,brick_block,0.379553,0.0437297,0.76,6.0,6.0,2.0,0.0,-9.2393,0.710646
2.368,0.2435960168261518,10.430423442710776,0.5665197036559936,-1.610766105075246,GO,brick_block,0.379553,0.0437297,0.76,6.0,6.0,2.0,0.0,-9.2393,0.710646
2.4,0.24297939273061603,10.411930778805152,0.5651050385283917,-1.610826164980526,GO,brick_block,0.379553,0.0437297,0.76,6.0,6.0,2.0,0.0,-9.2393,0.710646
2.432,0.2423553733397984,10.393330545131608,0.5645546472300804,-1.6108568435258672,GO,brick_block,0.379553,0.0437297,0.76,6.0,6.0,2.0,0.0,-9.2393,0.710646
2.464,0.24172413843733165,10.374625790835188,0.5648755912530814,-1.610868587755856,GO,brick_block,0.379553,0.0437297,0.76,6.0,6.0,2.0,0.0,-9.2393,0.710646
2.496,0.24108587143704546,10.355819402501345,0.5660041875426652,-1.6108747791218236,GO,brick_block,0.379553,0.0437297,0.76,6.0,6.0,2.0,0.0,-9.2393,0.710646
2.528,0.24044075559894007,10.336914227733514,0.5678145683918133,-1.6108902151905198,GO,brick_block,0.379553,0.0437297,0.76,6.0,6.0,2.0,0.0,-9.2393,0.710646
2.56,0.23978895971274777,10.317912905542508,0.5701317452527044,-1.6109294485715038,GO,brick_block,0.379553,0.0437297,0.76,6.0,6.0,2.0,0.0,-9.2393,0.710646
2.592,0.23913062340817673,10.298817678977954,0.5727476534944912,-1.6110050218649397,GO,brick_block,0.379553,0.0437297,0.76,6.0,6.0,2.0,0.0,-9.2393,0.710646
2.624,0.238465853158111,10.279630481899632,0.5754395128294891,-1.6111257646144517,GO,brick_block,0.379553,0.0437297,0.76,6.0,6.0,2.0,0.0,-9.2393,0.710646
2.656,0.23779472502474627,10.260353151855808,0.5779884630876804,-1.6112954627669616,GO,brick_block,0.379553,0.0437297,0.76,6.0,6.0,2.0,0.0,-9.2393,0.710646
2.688,0.2371172829356794,10.240987424048981,0.5801966946805909,-1.6115115389919612,GO,brick_block,0.379553,0.0437297,0.76,6.0,6.0,2.0,0.0,-9.2393,0.710646
2.72,0.23643354231865824,10.221534973425186,0.5819022921895343,-1.6117640121804515,GO,brick_block,0.379553,0.0437297,0.76,6.0,6.0,2.0,0.0,-9.2393,0.710646
2.7520000000000002,0.23574349984489532,10.201997510620506,0.5829905913353265,-1.6120380657577917,GO,brick_block,0.379553,0.0437297,0.76,6.0,6.0,2.0,0.0,-9.2393,0.710646
2.7840000000000003,0.23504714559186535,10.182376870367897,0.5834013445331484,-1.6123170188034204,GO,brick_block,0.379553,0.0437297,0.76,6.0,6.0,2.0,0.0,-9.2393,0.710646
2.816,0.2343444752075106,10.162675074166156,0.5831313235726547,-1.6125852339808326,GO,brick_block,0.379553,0.0437297,0.76,6.0,6.0,2.0,0.0,-9.2393,0.710646
2.848,0.2336354999213268,10.142894354897896,0.5822322905947512,-1.612830141857574,GO,brick_block,0.379553,0.0437297,0.76,6.0,6.0,2.0,0.0,-9.2393,0.710646
2.88,0.23292025309229125,10.123037139847797,0.5808046103887005,-1.6130430556251758,GO,brick_block,0.379553,0.0437297,0.76,6.0,6.0,2.0,0.0,-9.2393,0.710646
2.912,0.2321987930348262,10.103105997776096,0.5789871344555477,-1.6132189372057966,GO,brick_block,0.379553,0.0437297,0.76,6.0,6.0,2.0,0.0,-9.2393,0.710646
2.944,0.2314712027496397,10.083103562910042,0.5769443041267234,-1.6133555500058787,GO,brick_block,0.379553,0.0437297,0.76,6.0,6.0,2.0,0.0,-9.2393,0.710646
2.976,0.23073758768272,10.063032452244327,0.5748516419753926,-1.6134524724879649,GO,brick_block,0.379553,0.0437297,0.76,6.0,6.0,2.0,0.0,-9.2393,0.710646
3.008,0.22999807269806788,10.042895191853688,0.5728808983903835,-1.6135103348483153,GO,brick_block,0.379553,0.0437297,0.76,6.0,6.0,2.0,0.0,-9.2393,0.710646
3.04,0.2292527991624558,10.022694163581479,0.5711860934859275,-1.613530264018518,GO,brick_block,0.379553,0.0437297,0.76,6.0,6.0,2.0,0.0,-9.2393,0.710646
3.072,0.22850192266996502,10.002431576836122,0.5698915799962964,-1.6135149756560494,GO,brick_block,0.379553,0.0437297,0.76,6.0,6.0,2.0,0.0,-9.2393,0.710646
3.104,0.22774561071439087,9.982109463001338,0.5690831269724744,-1.6134696762088927,GO,brick_block,0.379553,0.0437297,0.76,6.0,6.0,2.0,0.0,-9.2393,0.710646
3.136,0.22698403952293322,9.961729684295774,0.5688026608531573,-1.613402184448764,GO,brick_block,0.379553,0.0437297,0.76,6.0,6.0,2.0,0.0,-9.2393,0.710646
3.168,0.22621738964115612,9.941293946970525,0.5690469457097821,-1.613322593593577,GO,brick_block,0.379553,0.0437297,0.76,6.0,6.0,2.0,0.0,-9.2393,0.710646
3.2,0.22544584020923056,9.920803811129712,0.5697701224984265,-1.6132424196923703,GO,brick_block,0.379553,0.0437297,0.76,6.0,6.0,2.0,0.0,-9.2393,0.710646
3.232,0.22466956235631785,9.90026069472343,0.5708896776165436,-1.613173383452579,GO,brick_block,0.379553,0.0437297,0.76,6.0,6.0,2.0,0.0,-9.2393,0.710646
